setup.py:186 	 2016-10-03 22:55:01,632 __main__     INFO     Container created: {u'Id': u'ae9c8f382156a71160ad5c771d4ed6629426eef649de556a66dae3b4b46c6e1b', u'Warnings': None}
setup.py:318 	 2016-10-03 22:56:09,424 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:56:09,427 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:56:09,430 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:56:09,453 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:56:09,457 __main__     INFO     Stopping or removing old container ae9c8f382156a71160ad5c771d4ed6629426eef649de556a66dae3b4b46c6e1b
setup.py:96 	 2016-10-03 22:56:09,494 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:56:09,701 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:56:09,707 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:56:09,716 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:56:09,862 __main__     INFO     Container created: {u'Id': u'bee51dd4a16af34afcd1a0310854073d6cee68fcb3265a202aba876c8d995326', u'Warnings': None}
setup.py:190 	 2016-10-03 22:56:10,223 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:55:44,504 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:55:44,506 __main__     INFO     /app/watch/input.jpg
setup.py:252 	 2016-10-03 22:56:25,092 __main__     INFO     Exiting container bee51dd4a16af34afcd1a0310854073d6cee68fcb3265a202aba876c8d995326
setup.py:318 	 2016-10-03 22:57:12,048 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:57:12,051 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:57:12,053 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:57:12,102 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:96 	 2016-10-03 22:57:12,107 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:57:12,296 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:57:12,299 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:57:12,306 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:57:12,454 __main__     INFO     Container created: {u'Id': u'6464c0d2a2e6662818b69ad21ccb57708144b8ddb6376477ceea151fa5a6a21d', u'Warnings': None}
setup.py:190 	 2016-10-03 22:57:12,836 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:56:47,127 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:56:47,130 __main__     INFO     /app/watch/input.jpg
setup.py:318 	 2016-10-03 22:58:07,157 __main__     INFO     ================================
setup.py:319 	 2016-10-03 22:58:07,161 __main__     INFO     Logging successfully initialized
setup.py:320 	 2016-10-03 22:58:07,164 __main__     INFO     ================================
setup.py:87 	 2016-10-03 22:58:07,184 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:90 	 2016-10-03 22:58:07,190 __main__     INFO     Stopping or removing old container 6464c0d2a2e6662818b69ad21ccb57708144b8ddb6376477ceea151fa5a6a21d
setup.py:96 	 2016-10-03 22:58:17,565 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 22:58:17,733 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 22:58:17,736 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 22:58:17,742 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 22:58:17,864 __main__     INFO     Container created: {u'Id': u'0709e4cc72a50e488ecac3736e167622a9b68fe7152d84398841483e9e64ef0a', u'Warnings': None}
setup.py:190 	 2016-10-03 22:58:18,259 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 03:57:52,568 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 03:57:52,571 __main__     INFO     /app/watch/input.jpg
setup.py:252 	 2016-10-03 22:58:27,220 __main__     INFO     Exiting container 0709e4cc72a50e488ecac3736e167622a9b68fe7152d84398841483e9e64ef0a
setup.py:320 	 2016-10-03 23:03:45,184 __main__     INFO     ================================
setup.py:321 	 2016-10-03 23:03:45,188 __main__     INFO     Logging successfully initialized
setup.py:322 	 2016-10-03 23:03:45,191 __main__     INFO     ================================
setup.py:87 	 2016-10-03 23:03:45,246 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:96 	 2016-10-03 23:03:45,250 __main__     INFO     Building container...
setup.py:114 	 2016-10-03 23:03:45,436 __main__     INFO     Container built succesfully.
setup.py:141 	 2016-10-03 23:03:45,440 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:145 	 2016-10-03 23:03:45,447 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:186 	 2016-10-03 23:03:45,572 __main__     INFO     Container created: {u'Id': u'feb6ee2dcf31541fe4dbd6da48f8241a97448bfaf4fcd5276d9f0100fc532c06', u'Warnings': None}
setup.py:190 	 2016-10-03 23:03:45,933 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 04:03:20,216 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 04:03:20,218 __main__     INFO     /app/watch/input.jpg
setup.py:369 	 2016-10-03 23:03:48,216 __main__     INFO     Cleaning up and exiting
setup.py:252 	 2016-10-03 23:03:58,647 __main__     INFO     Exiting container feb6ee2dcf31541fe4dbd6da48f8241a97448bfaf4fcd5276d9f0100fc532c06
setup.py:324 	 2016-10-03 23:05:29,161 __main__     INFO     ================================
setup.py:325 	 2016-10-03 23:05:29,164 __main__     INFO     Logging successfully initialized
setup.py:326 	 2016-10-03 23:05:29,168 __main__     INFO     ================================
setup.py:90 	 2016-10-03 23:05:29,210 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:99 	 2016-10-03 23:05:29,213 __main__     INFO     Building container...
setup.py:117 	 2016-10-03 23:05:29,390 __main__     INFO     Container built succesfully.
setup.py:144 	 2016-10-03 23:05:29,394 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:148 	 2016-10-03 23:05:29,400 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:189 	 2016-10-03 23:05:29,533 __main__     INFO     Container created: {u'Id': u'613147a142d85f6a7cf770e34fc1bd43f50481ff0701961216ce0e68a71cac76', u'Warnings': None}
setup.py:193 	 2016-10-03 23:05:29,855 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 04:05:04,133 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 04:05:04,135 __main__     INFO     /app/watch/input.jpg
setup.py:373 	 2016-10-03 23:05:31,927 __main__     INFO     Cleaning up and exiting
setup.py:324 	 2016-10-03 23:05:57,121 __main__     INFO     ================================
setup.py:325 	 2016-10-03 23:05:57,125 __main__     INFO     Logging successfully initialized
setup.py:326 	 2016-10-03 23:05:57,128 __main__     INFO     ================================
setup.py:90 	 2016-10-03 23:05:57,167 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:99 	 2016-10-03 23:05:57,171 __main__     INFO     Building container...
setup.py:117 	 2016-10-03 23:05:57,365 __main__     INFO     Container built succesfully.
setup.py:144 	 2016-10-03 23:05:57,368 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
